run_id,model_id,quant,suite,repair,git_ref,verdict_source,num_tasks,num_passed,pass_rate,source_dir
v3_pllum_2026-07-29__q4_ladder_no_repair,llama-pllum-8b,Q4_K_M,ladder46,off,e584b38,run.log,46,0,0.0,results/v3_pllum_2026-07-29/q4_ladder_no_repair
v3_pllum_2026-07-29__q4_ladder_repair,llama-pllum-8b,Q4_K_M,ladder46,on,e584b38,run.log,46,0,0.0,results/v3_pllum_2026-07-29/q4_ladder_repair
v3_pllum_2026-07-29__q4_main_no_repair,llama-pllum-8b,Q4_K_M,main67,off,e584b38,run.log,67,15,0.2239,results/v3_pllum_2026-07-29/q4_main_no_repair
v3_pllum_2026-07-29__q4_main_repair,llama-pllum-8b,Q4_K_M,main67,on,e584b38,run.log,67,17,0.2537,results/v3_pllum_2026-07-29/q4_main_repair
v3_pllum_2026-07-29__q5_ladder_no_repair,llama-pllum-8b,Q5_K_M,ladder46,off,e584b38,run.log,46,0,0.0,results/v3_pllum_2026-07-29/q5_ladder_no_repair
v3_pllum_2026-07-29__q5_ladder_repair,llama-pllum-8b,Q5_K_M,ladder46,on,e584b38,run.log,46,0,0.0,results/v3_pllum_2026-07-29/q5_ladder_repair
v3_pllum_2026-07-29__q5_main_no_repair,llama-pllum-8b,Q5_K_M,main67,off,e584b38,run.log,67,7,0.1045,results/v3_pllum_2026-07-29/q5_main_no_repair
v3_pllum_2026-07-29__q5_main_repair,llama-pllum-8b,Q5_K_M,main67,on,e584b38,run.log,67,9,0.1343,results/v3_pllum_2026-07-29/q5_main_repair
v3_pllum_2026-07-29__q6_ladder_no_repair,llama-pllum-8b,Q6_K,ladder46,off,e584b38,run.log,46,0,0.0,results/v3_pllum_2026-07-29/q6_ladder_no_repair
v3_pllum_2026-07-29__q6_ladder_repair,llama-pllum-8b,Q6_K,ladder46,on,e584b38,run.log,46,0,0.0,results/v3_pllum_2026-07-29/q6_ladder_repair
v3_pllum_2026-07-29__q6_main_no_repair,llama-pllum-8b,Q6_K,main67,off,e584b38,run.log,67,12,0.1791,results/v3_pllum_2026-07-29/q6_main_no_repair
v3_pllum_2026-07-29__q6_main_repair,llama-pllum-8b,Q6_K,main67,on,e584b38,run.log,67,14,0.209,results/v3_pllum_2026-07-29/q6_main_repair
v3_pllum_2026-07-29__q8_ladder_no_repair,llama-pllum-8b,Q8_0,ladder46,off,e584b38,run.log,46,2,0.0435,results/v3_pllum_2026-07-29/q8_ladder_no_repair
v3_pllum_2026-07-29__q8_ladder_repair,llama-pllum-8b,Q8_0,ladder46,on,e584b38,run.log,46,2,0.0435,results/v3_pllum_2026-07-29/q8_ladder_repair
v3_pllum_2026-07-29__q8_main_no_repair,llama-pllum-8b,Q8_0,main67,off,e584b38,run.log,67,13,0.194,results/v3_pllum_2026-07-29/q8_main_no_repair
v3_pllum_2026-07-29__q8_main_repair,llama-pllum-8b,Q8_0,main67,on,e584b38,run.log,67,15,0.2239,results/v3_pllum_2026-07-29/q8_main_repair
v3_11b_ladder_2026-07-29__q2_no_repair,bielik-11b-v3,Q2_K,ladder46,off,e584b38,run.log,46,0,0.0,results/v3_11b_ladder_2026-07-29/q2_no_repair
v3_11b_ladder_2026-07-29__q2_repair,bielik-11b-v3,Q2_K,ladder46,on,e584b38,run.log,46,0,0.0,results/v3_11b_ladder_2026-07-29/q2_repair
v3_11b_ladder_2026-07-29__q3_no_repair,bielik-11b-v3,Q3_K_M,ladder46,off,e584b38,run.log,46,32,0.6957,results/v3_11b_ladder_2026-07-29/q3_no_repair
v3_11b_ladder_2026-07-29__q3_repair,bielik-11b-v3,Q3_K_M,ladder46,on,e584b38,run.log,46,32,0.6957,results/v3_11b_ladder_2026-07-29/q3_repair
v3_11b_ladder_2026-07-29__q4_no_repair,bielik-11b-v3,Q4_K_M,ladder46,off,e584b38,run.log,46,1,0.0217,results/v3_11b_ladder_2026-07-29/q4_no_repair
v3_11b_ladder_2026-07-29__q4_repair,bielik-11b-v3,Q4_K_M,ladder46,on,e584b38,run.log,46,7,0.1522,results/v3_11b_ladder_2026-07-29/q4_repair
v3_11b_ladder_2026-07-29__q8_no_repair,bielik-11b-v3,Q8_0,ladder46,off,e584b38,run.log,46,13,0.2826,results/v3_11b_ladder_2026-07-29/q8_no_repair
v3_11b_ladder_2026-07-29__q8_repair,bielik-11b-v3,Q8_0,ladder46,on,e584b38,run.log,46,13,0.2826,results/v3_11b_ladder_2026-07-29/q8_repair
v3_7b_ladder_2026-07-29__q2_no_repair,bielik-minitron-7b-v3,Q2_K,ladder46,off,e584b38,run.log,46,0,0.0,results/v3_7b_ladder_2026-07-29/q2_no_repair
v3_7b_ladder_2026-07-29__q2_repair,bielik-minitron-7b-v3,Q2_K,ladder46,on,e584b38,run.log,46,0,0.0,results/v3_7b_ladder_2026-07-29/q2_repair
v3_7b_ladder_2026-07-29__q3_no_repair,bielik-minitron-7b-v3,Q3_K_M,ladder46,off,e584b38,run.log,46,2,0.0435,results/v3_7b_ladder_2026-07-29/q3_no_repair
v3_7b_ladder_2026-07-29__q3_repair,bielik-minitron-7b-v3,Q3_K_M,ladder46,on,e584b38,run.log,46,2,0.0435,results/v3_7b_ladder_2026-07-29/q3_repair
v3_7b_ladder_2026-07-29__q4_no_repair,bielik-minitron-7b-v3,Q4_K_M,ladder46,off,e584b38,run.log,46,1,0.0217,results/v3_7b_ladder_2026-07-29/q4_no_repair
v3_7b_ladder_2026-07-29__q4_repair,bielik-minitron-7b-v3,Q4_K_M,ladder46,on,e584b38,run.log,46,9,0.1957,results/v3_7b_ladder_2026-07-29/q4_repair
v3_7b_ladder_2026-07-29__q8_no_repair,bielik-minitron-7b-v3,Q8_0,ladder46,off,e584b38,run.log,46,2,0.0435,results/v3_7b_ladder_2026-07-29/q8_no_repair
v3_7b_ladder_2026-07-29__q8_repair,bielik-minitron-7b-v3,Q8_0,ladder46,on,e584b38,run.log,46,3,0.0652,results/v3_7b_ladder_2026-07-29/q8_repair
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,67,13,0.194,results/v3_11b_variance_2026-07-29/q3_seed1
v3_11b_variance_2026-07-29__q3_seed2,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,67,43,0.6418,results/v3_11b_variance_2026-07-29/q3_seed2
v3_11b_variance_2026-07-29__q3_seed3,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,67,51,0.7612,results/v3_11b_variance_2026-07-29/q3_seed3
v3_11b_variance_2026-07-29__q8_seed1,bielik-11b-v3,Q8_0,main67,off,e584b38,run.log,67,8,0.1194,results/v3_11b_variance_2026-07-29/q8_seed1
v3_11b_variance_2026-07-29__q8_seed2,bielik-11b-v3,Q8_0,main67,off,e584b38,run.log,67,49,0.7313,results/v3_11b_variance_2026-07-29/q8_seed2
v3_11b_variance_2026-07-29__q8_seed3,bielik-11b-v3,Q8_0,main67,off,e584b38,run.log,67,48,0.7164,results/v3_11b_variance_2026-07-29/q8_seed3
