task_id,tier,bielik-minitron-7b-v3|Q8_0|off,bielik-minitron-7b-v3|Q2_K|off,bielik-minitron-7b-v3|Q2_K|on,bielik-minitron-7b-v3|Q3_K_M|off,bielik-minitron-7b-v3|Q3_K_M|on,bielik-minitron-7b-v3|Q4_K_M|off,bielik-minitron-7b-v3|Q4_K_M|on,bielik-minitron-7b-v3|Q8_0|on,bielik-11b-v3|Q2_K|off,bielik-11b-v3|Q2_K|on,bielik-11b-v3|Q3_K_M|off,bielik-11b-v3|Q3_K_M|on,bielik-11b-v3|Q4_K_M|off,bielik-11b-v3|Q4_K_M|on,bielik-11b-v3|Q5_K_M|off,bielik-11b-v3|Q5_K_M|on,bielik-11b-v3|Q6_K|off,bielik-11b-v3|Q6_K|on,bielik-11b-v3|Q8_0|off,bielik-11b-v3|Q8_0|on,bielik-minitron-7b-v3|Q5_K_M|off,bielik-minitron-7b-v3|Q5_K_M|on,bielik-minitron-7b-v3|Q6_K|off,bielik-minitron-7b-v3|Q6_K|on,llama-pllum-8b|Q8_0|off,llama-pllum-8b|Q8_0|on,llama-pllum-8b|Q2_K|off,llama-pllum-8b|Q2_K|on,llama-pllum-8b|Q3_K_M|off,llama-pllum-8b|Q3_K_M|on,llama-pllum-8b|Q4_K_M|off,llama-pllum-8b|Q4_K_M|on,llama-pllum-8b|Q5_K_M|off,llama-pllum-8b|Q5_K_M|on,llama-pllum-8b|Q6_K|off,llama-pllum-8b|Q6_K|on
v3_chain_014,hard,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
v3_chain_015,hard,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
v3_chain_016,hard,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1
v3_chain_en_001,hard,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_001_arith,hard,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_002,hard,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_003,hard,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_003_arith,hard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_004,hard,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_004_arith,hard,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_005,hard,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1
v3_chain_en_005_arith,hard,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_006,hard,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_007,hard,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_008,hard,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_009,hard,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_010,hard,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_011,hard,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_012,hard,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_013,hard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v3_chain_en_014,hard,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
